"query","product_id","product_locale","product_title","product_description","product_bullet_point","product_brand","product_color"
" revent 80 cfm","B07X3Y6B1V","us","Homewerks 7141-80 Bathroom Fan Integrated LED Light Ceiling Mount Exhaust Ventilation, 1.1 Sones, 80 CFM","","OUTSTANDING PERFORMANCE: This Homewerk's bath fan ensures comfort in your home by quietly eliminating moisture and humidity in the bathroom. This exhaust fan is 1.1 sones at 80 CFM which means it’s able to manage spaces up to 80 square feet and is very quiet..
BATH FANS HELPS REMOVE HARSH ODOR: When cleaning the bathroom or toilet, harsh chemicals are used and they can leave an obnoxious odor behind. Homewerk’s bathroom fans can help remove this odor with its powerful ventilation
BUILD QUALITY: Designed to be corrosion resistant with its galvanized steel construction featuring a modern style round shape and has an 4000K Cool White Light LED Light. AC motor.
EASY INSTALLATION: This exhaust bath fan is easy to install with its no-cut design and ceiling mount ventilation. Ceiling Opening (L) 7-1/2 in x Ceiling Opening (W) 7-1/4 x Ceiling Opening (H) 5-3/4 in. 13 in round grill and 4 in round duct connector.
HOMEWERKS TRUSTED QUALITY: Be confident in the quality and construction of each and every one of our products. We ensure that all of our products are produced and certified to regional, national and international industry standards. We are proud of the products we sell, you will be too. 3 Year Limited","Homewerks","80 CFM"
" revent 80 cfm","B07WDM7MQQ","us","Homewerks 7140-80 Bathroom Fan Ceiling Mount Exhaust Ventilation, 1.5 Sones, 80 CFM, White","","OUTSTANDING PERFORMANCE: This Homewerk's bath fan ensures comfort in your home by quietly eliminating moisture and humidity in the bathroom. This exhaust fan is 1. 5 sone at 110 CFM which means it’s able to manage spaces up to 110 square feet
BATH FANS HELPS REMOVE HARSH ODOR: When cleaning the bathroom or toilet, harsh chemicals are used and they can leave an obnoxious odor behind. Homewerk’s bathroom fans can help remove this odor with its powerful ventilation
BUILD QUALITY: Designed to be corrosion resistant with its galvanized steel construction featuring a grille modern style.
EASY INSTALLATION: This exhaust bath fan is easy to install with its no-cut design and ceiling mount ventilation. Ceiling Opening (L) 7-1/2 in x Ceiling Opening (W) 7-1/4 x Ceiling Opening (H) 5-3/4 in and a 4"" round duct connector.
HOMEWERKS TRUSTED QUALITY: Be confident in the quality and construction of each and every one of our products. We ensure that all of our products are produced and certified to regional, national and international industry standards. We are proud of the products we sell, you will be too. 3 Year Limited","Homewerks","White"
" revent 80 cfm","B07RH6Z8KW","us","Delta Electronics RAD80L BreezRadiance 80 CFM Heater/Fan/Light Combo White (Renewed)","This pre-owned or refurbished product has been professionally inspected and tested to work and look like new. How a product becomes part of Amazon Renewed, your destination for pre-owned, refurbished products: A customer buys a new product and returns it or trades it in for a newer or different model. That product is inspected and tested to work and look like new by Amazon-qualified suppliers. Then, the product is sold as an Amazon Renewed product on Amazon. If not satisfied with the purchase, renewed products are eligible for replacement or refund under the Amazon Renewed Guarantee.","Quiet operation at 1.5 sones
Built-in thermostat regulates temperature. Energy efficiency at 7.6 CFM/Watt
Precision engineered with DC brushless motor for extended reliability, this fan will outlast many household appliances
Galvanized steel construction resists corrosion
Duct: Detachable 4-inch Plastic Duct Adapter","DELTA ELECTRONICS (AMERICAS) LTD.","White"
" revent 80 cfm","B07QJ7WYFQ","us","Panasonic FV-08VRE2 Ventilation Fan with Recessed LED (Renewed)","","The design solution for Fan/light combinations
Energy Star rated architectural grade recessed Fan/LED light
Quiet, energy efficient and powerful 80 CFM ventilation hidden above the Ceiling
LED lamp is dimmable
Beautiful Lighting with 6-1/2”aperture and advanced luminaire design","Panasonic","White"
" revent 80 cfm","B076Q7V5WX","us","Panasonic FV-0511VQ1 WhisperCeiling DC Ventilation Fan, Speed Selector, SmartFlow Technology, Quiet,White","","Installation: Features a 4-inch or 6-inch duct adaptor ideal for new construction and renovations
Precision Spot Ventilation: Quiet and powerful ventilation while removing moisture and pollution
Pick-A-Flow Speed Selector: Allows you to pick desired airflow from 50, 80, 110 CFM
Flexible Installation: Comes with Flex-Z Fast bracket for easy, fast and trouble-free installation
Energy Star Rated: Delivers powerful airflow without wasting energy","Panasonic","White"
" revent 80 cfm","B075ZBF9HG","us","Panasonic FV-0510VSL1 WhisperValue DC Ventilation Fan with Light, 50-80-100 CFM","","Installation: Features a low profile can ideal for residential construction; celiing or wall mount
Architectural Design: Architectural grade light fixture that gives powerful, yet quiet ventilation
Pick-A-Flow Speed Selector: Allows you to pick desired airflow from 50, 80, 100 CFM
Slimmest Design: With a 3-3/8-Inch housing depth, WhisperValue DC is slimmest design available
Energy Star Rated: Delivers powerful airflow without wasting energy","Panasonic","White"
" revent 80 cfm","B06W2LB17J","us","Panasonic FV-0510VS1 WhisperValue DC Ventilation Fan, 50-80-100 CFM","","Installation: Features a low profile can ideal for residential construction; celiing or wall mount
Precision Spot Ventilation: Quiet and powerful ventilation while removing moisture and pollution
Pick-A-Flow Speed Selector: Allows you to pick desired airflow from 50, 80, 100 CFM
Slimmest Design: With a 3-3/8-Inch housing depth, WhisperValue DC is slimmest design available
Energy Star Rated: Delivers powerful airflow without wasting energy","Panasonic","White"
" revent 80 cfm","B07JY1PQNT","us","Aero Pure ABF80 L5 W ABF80L5 Ceiling Mount 80 CFM w/LED Light/Nightlight, Energy Star Certified, White Quiet Bathroom Ventilation Fan","","Quiet 0.3 Sones, 80 CFM fan with choice of three designer grilles in White, Satin Nickel, or Oil Rubbed Bronze; Full 6 year warranty
10W 3000K 800 Lumens LED Light with 0.7W Nightlight included
Installation friendly- Quick-mount adjustable metal bracket for new construction and retrofit; 4”, 5: and 6” metal duct adaptor included
Meets today’s demanding building specifications- ETL Listed for wet application, ENERGY STAR certified, CALGreen, JA-8 Compliant for CA Title 24, and ASHRAE 62.2 compliant
Housing dimensions- 10 2/5”x10 2/5”x 7 ½”; Grille dimensions- 13”x13”; Fits 2""x8"" joists","Aero Pure","White"
" revent 80 cfm","B01MZIK0PI","us","Delta Electronics (Americas) Ltd. RAD80 Delta BreezRadiance Series 80 CFM Fan with Heater, 10.5W, 1.5 Sones","","Quiet operation at 1.5 Sones
Precision engineered with DC brushless motor for extended reliability, this Fan will outlast many household appliances
Galvanized steel construction resists corrosion, equipped with metal duct adapter
Fan impeller Stops If obstructed, for safe worry-free operation
Peace of mind quality, performance and reliability from the world's largest DC brushless Fan Manufacturer","DELTA ELECTRONICS (AMERICAS) LTD.","With Heater"
" revent 80 cfm","B00XBZFWWM","us","Panasonic FV-0811VF5 WhisperFit EZ Retrofit Ventilation Fan, 80 or 110 CFM","","Retrofit Solution: Ideal for residential remodeling, hotel construction or renovations
Low Profile: 5-5/8-Inch housing depth fits in a 2 x 6 construction
Pick-A-Flow Speed Selector: Allows you to pick desired airflow from 80 or 110 CFM
Flexible Installation: Comes with Flex-Z Fast bracket for easy, fast and trouble-free installation
Energy Star Rated: Delivers powerful airflow without wasting energy","Panasonic","White"
