example_id,query,query_id,product_id,product_locale,esci_label,small_version,large_version,split
195660,american girl doll travel suitcase,8803,B074V6SN2B,us,E,0,1,test
765973,espresso machine with coffee grinder,38145,B08GK8D3ZJ,us,E,1,1,test
297367,baylor 4t jersey,14016,B07PLQB9J9,us,E,0,1,train
2154415,weber marinade packets,110401,B00M4Y8CT6,us,E,0,1,test
886368,garden tools,44418,B07YW9ZWGY,us,E,0,1,train
1002568,high school backpack high sierra,50527,B003BOBF0G,us,E,0,1,train
1936099,summer spa house slippers,99106,B07MXGN63C,us,E,0,1,test
662435,dherbs products,32898,B00KPWQMIC,us,E,0,1,train
2004911,thigh strap on for sex,102683,B08CNC51FD,us,E,1,1,train
2169665,white nike womens,111214,B018TE4T50,us,E,0,1,test
224160,ariat,10258,B07WF9MW3T,us,E,0,1,train
711632,dress formal for women,35424,B089YJZ33T,us,E,0,1,train
1311530,maxair fan,66524,B00HQZB4I4,us,E,1,1,test
662438,dherbs products,32898,B00KLLGVLU,us,E,0,1,train
1311519,maxair fan,66524,B002OWAIB8,us,E,1,1,test
1184778,large cactus magnets,60010,B07VCT2621,us,E,0,1,train
798034,faux headboard,39789,B00OIQIO6Y,us,E,0,1,train
1395387,motor mount,70897,B01KYI41QG,us,E,0,1,train
1284454,makeup brush set,65122,B01FWDIJHK,us,E,0,1,train
1528601,parachutes,77790,B0062TLEV2,us,E,0,1,test
790644,fake teeth haloween,39392,B000H3XLQK,us,E,0,1,train
2222713,wrist cushion for computer,114057,B095R6N8ZD,us,E,0,1,train
1402203,mre beef,71256,B07T43YW4N,us,E,0,1,train
1693595,red denim jacket for men,86328,B07F629WCJ,us,E,0,1,test
1180808,langire women,59816,B07F7PP5S8,us,E,0,1,train
798033,faux headboard,39789,B00MUM0GNC,us,E,0,1,train
1254078,longboard skateboard,63616,B08CZDFC6J,us,E,0,1,train
2157676,weighted blanket 15 lbs,110572,B07BJMTJTD,us,E,0,1,train
1659686,purple light,84579,B07HQ3NNY8,us,E,0,1,train
557124,coin & button cell batteries,27481,B07Q16ZPFC,us,E,0,1,test
1748802,running shoes for men 13 wide,89180,B07YDWFN1C,us,E,0,1,train
1634821,prime movies asian,83296,B07GJ45XKG,us,E,0,1,train
2222707,wrist cushion for computer,114057,B08W8R4KPG,us,E,0,1,train
1322965,memory foam insoles,67100,B07DB19NGK,us,E,0,1,train
1913441,steel-toe boots,97897,B07V8G9QQD,us,E,0,1,train
1180816,langire women,59816,B0769XP4B1,us,E,0,1,train
1822331,shwartzkoff hair weigh,93079,B001S46QIM,us,E,0,1,train
1290415,mandrel tube benders,65439,B008ULY74G,us,E,1,1,train
1257896,louis vuitton,63798,B07CPWLKLL,us,E,0,1,train
224153,ariat,10258,B078TC68ZD,us,E,0,1,train
2049493,travel cosmetic organizer,104985,B088LRMXX6,us,E,0,1,train
1710944,restaurant tumblers 16oz,87245,B015EPIHKK,us,E,0,1,train
2003888,thermostat digital,102631,B00204WWGE,us,E,0,1,test
72490,20 inch storage bin,2788,B07TFHBYT1,us,E,1,1,train
1257881,louis vuitton,63798,0847833380,us,E,0,1,train
1626046,power extension cable compatible with wyzecam,82833,B07T187N8V,us,E,0,1,train
528675,christmas purse,26002,B07GSHJZ9B,us,E,0,1,test
